name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,GW
Alex Scott,MID,Bournemouth,1.6,0,0,11,0,12.8,77,1
Carlos Miguel dos Santos Pereira,GK,Nott'm Forest,2.2,0,0,0,0,0.0,427,1
Tomiyasu Takehiro,DEF,Arsenal,0.0,0,0,0,0,0.0,22,1
Malcolm Ebiowei,MID,Crystal Palace,0.0,0,0,0,0,0.0,197,1
Ben Brereton Díaz,MID,Southampton,1.0,0,0,-2,0,14.0,584,1
Pau Torres,DEF,Aston Villa,1.9,0,0,17,0,1.9,52,1
Joel Ward,DEF,Crystal Palace,1.9,0,0,0,0,0.0,215,1
Will Lankshear,FWD,Spurs,1.5,0,0,0,0,0.0,609,1
Hwang Hee-chan,MID,Wolves,1.3,0,0,14,0,16.3,550,1
Mikey Moore,MID,Spurs,1.5,0,0,0,0,0.0,610,1
Hákon Valdimarsson,GK,Brentford,1.0,0,0,0,0,0.0,109,1
Alex Paulsen,GK,Bournemouth,0.0,0,0,0,0,0.0,75,1
João Victor Gomes da Silva,MID,Wolves,0.6,0,0,11,0,3.2,553,1
Cole Palmer,MID,Chelsea,2.4,0,0,18,0,37.8,182,1
Mitoma Kaoru,MID,Brighton,2.3,0,0,27,1,4.1,136,1
Boubakary Soumaré,MID,Leicester,0.5,0,0,3,0,0.3,285,1
Chris Wood,FWD,Nott'm Forest,2.0,0,3,30,1,5.7,447,1
Joe Worrall,DEF,Nott'm Forest,1.9,0,0,0,0,0.0,448,1
Jeffrey Schlupp,MID,Crystal Palace,1.6,0,0,0,0,0.0,214,1
Milos Kerkez,DEF,Bournemouth,1.9,0,0,5,0,12.7,70,1
Adrian Mazilu,MID,Brighton,1.0,0,0,0,0,0.0,133,1
Jason Steele,GK,Brighton,2.2,0,1,31,1,0.0,142,1
Arijanet Muric,GK,Ipswich,1.2,0,0,0,0,0.0,568,1
Carl Rushworth,GK,Brighton,1.0,0,0,0,0,0.0,615,1
Ibrahim Sangaré,MID,Nott'm Forest,1.0,0,0,13,0,2.5,442,1
Hannibal Mejbri,MID,Man Utd,1.0,0,0,0,0,0.0,373,1
Brandon Austin,GK,Spurs,1.5,0,0,0,0,0.0,479,1
Conor Coady,DEF,Leicester,0.0,0,0,0,0,0.0,288,1
Wes Foderingham,GK,West Ham,2.2,0,0,0,0,0.0,522,1
Armando Broja,FWD,Chelsea,0.7,0,0,0,0,0.0,156,1
Adam Webster,DEF,Brighton,1.9,0,0,9,0,0.7,147,1
Thomas Partey,MID,Arsenal,2.6,0,0,16,1,43.6,20,1
Harry Wilson,MID,Fulham,2.0,0,0,4,0,3.9,259,1
Kasey McAteer,MID,Leicester,1.1,0,0,3,0,0.1,299,1
Curtis Jones,MID,Liverpool,3.0,0,0,0,0,0.0,324,1
Wes Burns,MID,Ipswich,0.6,0,0,-2,0,1.8,264,1
Yunus Emre Konak,MID,Brentford,1.0,0,0,0,0,0.0,97,1
Max Kilman,DEF,West Ham,1.9,0,0,9,0,11.3,524,1
Deniz Undav,FWD,Brighton,0.0,0,0,0,0,0.0,143,1
Alex Murphy,DEF,Newcastle,2.0,0,0,0,0,0.0,390,1
George Edmundson,DEF,Ipswich,0.0,0,0,0,0,0.0,269,1
Sávio 'Savinho' Moreira de Oliveira,MID,Man City,3.3,0,0,8,0,36.4,571,1
Emerson Palmieri dos Santos,DEF,West Ham,1.9,0,0,5,0,2.5,520,1
Abdoulaye Doucouré,MID,Everton,2.0,0,0,2,0,3.2,217,1
José Malheiro de Sá,GK,Wolves,1.2,0,0,10,0,0.0,554,1
Alexander Isak,FWD,Newcastle,3.6,1,0,22,1,10.8,401,1
Yves Bissouma,MID,Spurs,0.0,0,0,0,0,0.0,482,1
Conor Gallagher,MID,Chelsea,1.2,0,0,0,0,0.0,169,1
Philip Billing,MID,Bournemouth,1.6,0,0,1,0,0.0,76,1
Gonçalo Manuel Ganchinho Guedes,MID,Wolves,1.0,0,0,0,0,0.0,548,1
Brajan Gruda,MID,Brighton,2.0,0,0,0,0,0.0,595,1
Rodrigo 'Rodri' Hernandez,MID,Man City,0.0,0,0,0,0,0.0,360,1
Đorđe Petrović,GK,Chelsea,1.2,0,0,0,0,0.0,183,1
Craig Dawson,DEF,Wolves,0.9,0,0,2,0,0.0,542,1
Jordan Ayew,MID,Crystal Palace,2.0,0,0,-5,0,12.8,192,1
Marcos Senesi,DEF,Bournemouth,2.4,0,0,0,0,0.0,79,1
Kiernan Dewsbury-Hall,MID,Chelsea,1.2,0,0,4,0,1.6,166,1
